run_id,scenario,seed,algo,served,unserved,wait_mean_min,ride_time_extra_mean_min,time_total_min,dist_total_km,cost,cpu_time_sec,cpu_time_grasp_sec,cpu_time_vnd_sec
scenario_6__seed5__algograsp__alpha0.3__ms30__tl120,scenario_6,5,grasp,50.0,50.0,1.5616378979720225,8.374793997232219,1161.6247520414581,478.0,1001.0081778390489,120.5207724571228,120.5207724571228,0.0
scenario_6__seed5__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_6,5,grasp_vnd,50.0,50.0,2.227513180611412,8.086238071656215,1069.2613733162848,422.0,1000.9090831782539,139.05345153808594,120.5207724571228,18.532679080963135
scenario_7__seed1__algograsp__alpha0.3__ms30__tl120,scenario_7,1,grasp,41.0,79.0,1.9150388816700972,3.623434804633044,872.3451655770455,344.0,1581.0189618084098,121.68560981750488,121.68560981750488,0.0
scenario_7__seed1__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_7,1,grasp_vnd,41.0,79.0,1.9524568837135674,3.006981610113712,823.7650179465419,321.0,1580.956538607506,127.93446373939514,121.68560981750488,6.248853921890259
scenario_7__seed2__algograsp__alpha0.3__ms30__tl120,scenario_7,2,grasp,39.0,81.0,2.0653633766171766,4.346472312644582,946.6063145452126,376.0,1621.1097170319638,121.04013013839722,121.04013013839722,0.0
scenario_7__seed2__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_7,2,grasp_vnd,39.0,81.0,2.4930346394677763,3.722405383580584,937.7997795106719,364.0,1621.0868310211406,127.0798327922821,121.04013013839722,6.039702653884888
scenario_7__seed3__algograsp__alpha0.3__ms30__tl120,scenario_7,3,grasp,39.0,81.0,2.7971803232568013,3.0329584105011875,927.4900326070153,364.0,1621.0807954977367,120.61915063858032,120.61915063858032,0.0
scenario_7__seed3__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_7,3,grasp_vnd,39.0,81.0,2.9074602772497062,2.6521147977516293,829.1052365270243,313.0,1620.9478445428288,127.40999126434326,120.61915063858032,6.7908406257629395
scenario_7__seed4__algograsp__alpha0.3__ms30__tl120,scenario_7,4,grasp,37.0,83.0,2.4635170560995325,3.1601544471787064,913.435845361397,364.0,1661.072567907202,122.03083634376526,122.03083634376526,0.0
scenario_7__seed4__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_7,4,grasp_vnd,37.0,83.0,2.827914960797276,2.9330156810539543,828.1185678352136,318.0,1660.9546546349247,127.03079581260681,122.03083634376526,4.999959468841553
scenario_7__seed5__algograsp__alpha0.3__ms30__tl120,scenario_7,5,grasp,38.0,82.0,1.1463951876170182,3.0447985980024437,791.791588558018,326.0,1640.9452084560892,121.44122552871704,121.44122552871704,0.0
scenario_7__seed5__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_7,5,grasp_vnd,38.0,82.0,1.2798364934414466,3.9361346406689766,697.5480724650606,280.0,1640.822069592701,128.86022758483887,121.44122552871704,7.419002056121826
scenario_8__seed1__algograsp__alpha0.3__ms30__tl120,scenario_8,1,grasp,30.0,90.0,1.8544520165203329,3.928644410335224,625.4621319241813,246.0,1800.9520871182583,121.89833617210388,121.89833617210388,0.0
scenario_8__seed1__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_8,1,grasp_vnd,30.0,90.0,2.3994879374133915,2.923617637809869,617.0132095509731,236.0,1800.926522548495,124.75958132743835,121.89833617210388,2.8612451553344727
scenario_8__seed2__algograsp__alpha0.3__ms30__tl120,scenario_8,2,grasp,28.0,92.0,2.993163067028283,3.218841110463173,622.0942801625062,232.0,1840.922844483196,120.92111730575562,120.92111730575562,0.0
scenario_8__seed2__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_8,2,grasp_vnd,28.0,92.0,3.7198722615611985,3.0139298514718407,589.584994752285,208.0,1840.8520231637656,122.49746489524841,120.92111730575562,1.5763475894927979
